"text","label"
"Бұл топтың әрекеттері таза саяси экстремизм","Политический экстремизм"
"Власти пресекли деятельность ячейки, готовившей беспорядки","Политический экстремизм"
"Олардың үндеулері конституциялық құрылымды күшпен өзгертуге шақырады","Политический экстремизм"
"Ненависть к оппонентам это первый шаг к political extremism","Политический экстремизм"
"Желіде тараған радикалды идеялар өте қауіпті","Политический экстремизм"
"За призывы к насильственному захвату власти грозит срок","Политический экстремизм"
"Саяси экстремизм мемлекет тұтастығына нұқсан келтіреді","Политический экстремизм"
"Прокуратура начала проверку высказываний депутата на экстремизм","Политический экстремизм"
"Экстремистік материалдарды таратпау керек, ол заңмен қудаланады","Политический экстремизм"
"Любые формы political intolerance могут привести к экстремизму","Политический экстремизм"
"Экстремистік материалдарды таратпау керек, ол заңмен қудаланады.","Политический экстремизм"
"Любые формы political intolerance могут привести к экстремизму.","Политический экстремизм"
"Қоғамда араздық тудыру – саяси экстремизмнің көрінісі.","Политический экстремизм"
"Силовые методы в политике – прямой путь к экстремизму.","Политический экстремизм"
"Заңсыз қарулы топтар құру экстремизм болып табылады.","Политический экстремизм"
"В соцсетях распространяли инструкции по изготовлению взрывчатки.","Политический экстремизм"
"Олардың идеологиясы зорлық-зомбылыққа негізделген.","Политический экстремизм"
"Финансирование радикальных движений – это пособничество экстремизму.","Политический экстремизм"
"Саяси экстремизм ұлттық қауіпсіздікке қатер төндіреді.","Политический экстремизм"
"Призывы к расправе над чиновниками – это явный экстремизм.","Политический экстремизм"
"Тыйым салынған ұйымның үгіт-насихаты анықталды.","Политический экстремизм"
"Нужно бороться с причинами, порождающими политический экстремизм.","Политический экстремизм"
"Экстремистік ұйымның мүшелері ұсталды.","Политический экстремизм"
"Пропаганда превосходства одной нации над другой запрещена.","Политический экстремизм"
"Саяси көзқарасы үшін адамдарды қудалауға болмайды, бірақ экстремизм басқа.","Политический экстремизм"
"Вербовка новых членов в экстремистские группы идет онлайн.","Политический экстремизм"
"Ол өз сөздерінде билікті күшпен ауыстыруға шақырды.","Политический экстремизм"
"Экстремизм проявляется не только в действиях, но и в словах.","Политический экстремизм"
"Конституциялық тәртіпті бұзуға бағытталған әрекеттерге тосқауыл қойылды.","Политический экстремизм"
"Разжигание социальной розни – уголовно наказуемое деяние.","Политический экстремизм"
"Мемлекет саяси экстремизммен белсенді күресуде.","Политический экстремизм"
"Использование религии для оправдания насилия – форма экстремизма.","Политический экстремизм"
"Саяси экстремизммен күрес халықаралық деңгейде жүруі тиіс.","Политический экстремизм"
"Они оправдывают теракты как метод политической борьбы.","Политический экстремизм"
"Радикалды топтар жастардың санасын улауда.","Политический экстремизм"
"Экстремистские материалы были внесены в список запрещенных.","Политический экстремизм"
